"id","question","option_a","option_b","option_c","option_d","correct_option","fun_fact"
18,"I’m a tall tree, my fruit gives oil, and my leaves dance with the wind! Who am I?","Coconut Tree","Palm Tree","Banana Plant","Teak Tree","Coconut Tree","Every part of the coconut tree is useful — it’s called the ‘Tree of Life’!"
19,"I’m the national tree of India, and birds love me for shade! Who am I?","Neem","Banyan","Peepal","Mango","Banyan","The Great Banyan Tree in Kolkata covers more than 3 acres!"
20,"I’m green, bitter, but make your liver happy! Who am I?","Bottle Gourd","Bitter Gourd","Cucumber","Spinach","Bitter Gourd","Bitter gourd can help regulate blood sugar levels naturally!"
21,"I’m green, round, and roll away from your plate if you don’t watch me! Who am I?","Pea","Lime","Grape","Olive","Pea","Peas are one of the oldest cultivated crops — humans have eaten them for 10,000 years!"
22,"I’m red and tiny, used in sauce that makes pizza awesome! Who am I?","Tomato","Cherry","Chili","Pomegranate","Tomato","There are more than 10,000 varieties of tomatoes around the world!"
23,"I’m white, grow underground, and vampires hate me! Who am I?","Onion","Garlic","Radish","Turnip","Garlic","Garlic has natural antibiotic properties and boosts immunity!"
24,"I’m leafy, green, and help you look like a health influencer! Who am I?","Cabbage","Kale","Spinach","Mint","Kale","Kale has more vitamin C than an orange — it’s a true superfood!"
25,"I’m brown outside, white inside, and make coconut water cool again! Who am I?","Coconut","Guava","Custard Apple","Lychee","Coconut","Coconut water can be used as a natural emergency blood plasma substitute!"
26,"I’m small, sour, and your pickle partner! Who am I?","Lemon","Tamarind","Raw Mango","Gooseberry","Gooseberry","Gooseberries have 20 times more vitamin C than an orange!"
27,"I’m long and green — people make chips from me! Who am I?","Banana","Plantain","Bottle Gourd","Cucumber","Plantain","Plantains are starchy cousins of bananas — perfect for frying, not smoothies!"
28,"I’m purple outside, white inside, and sometimes people call me ‘brinjal’. Who am I?","Eggplant","Beetroot","Turnip","Sweet Potato","Eggplant","Eggplants are technically berries and contain nicotine (but very little)!"
29,"I’m red inside with tiny jewels, perfect for your juice! Who am I?","Watermelon","Pomegranate","Guava","Papaya","Pomegranate","Pomegranate juice was once considered the drink of the gods in ancient Persia!"
30,"I’m leafy and minty fresh — people use me in toothpaste and chutneys! Who am I?","Coriander","Basil","Mint","Spinach","Mint","Mint helps cool your mouth by activating the same receptors that sense cold!"
31,"I’m orange and round — people carve faces on me during Halloween! Who am I?","Papaya","Pumpkin","Mango","Orange","Pumpkin","Pumpkins are 90% water and were once used to remove freckles!"
32,"I’m brown and hairy outside but sweet white inside — a tropical treat! Who am I?","Coconut","Sapodilla","Lychee","Rambutan","Coconut","Coconuts float on water and can travel across oceans to grow on new islands!"
33,"I’m tiny, black, and people call me spicy drama! Who am I?","Pepper","Mustard Seed","Cumin","Sesame","Pepper","Black pepper was once so valuable it was used as currency!"
34,"I’m soft, brown, and sweet — monkeys and humans both love me! Who am I?","Date","Banana","Fig","Raisin","Date","Dates are one of the oldest cultivated fruits — they were eaten 8,000 years ago!"
35,"I’m green and tiny but pack a spicy punch — used in pickles! Who am I?","Chili","Mustard Seed","Green Pea","Coriander Seed","Chili","India is the world’s largest producer and consumer of chilies!"
36,"I’m tall, shady, and famous for my medicinal leaves. Who am I?","Neem Tree","Banyan Tree","Teak Tree","Mango Tree","Neem Tree","Neem leaves have antibacterial properties and are used in Ayurvedic medicines!"
37,"I’m a desert plant with thorns but store water like a pro! Who am I?","Cactus","Aloe Vera","Palm","Bamboo","Cactus","Cacti can survive for years without rain by storing water in their stems!"
184,"I’m sweet, sticky, and come from sugarcane! Who am I?","Honey","Molasses","Jaggery","Syrup","Jaggery","Jaggery is rich in minerals and helps cleanse the liver naturally!"
38,"I’m small and sweet, and people call me ‘nature’s candy’! Who am I?","Raisin","Cherry","Blueberry","Grape","Grape","Grapes explode if you put them in a microwave — try it carefully!"
39,"I’m yellow, sour, and make your face go ‘ooooh’! Who am I?","Lemon","Mango","Pineapple","Raw Mango","Lemon","One lemon tree can produce over 1,500 lemons a year!"
40,"I’m brown, rough, and my oil keeps your hair silky! Who am I?","Coconut","Castor Seed","Almond","Peanut","Coconut","Coconut oil helps repair damaged hair and boosts brain function too!"
41,"I’m big, green, and have a crown — people think I’m a fruit king! Who am I?","Pineapple","Jackfruit","Durian","Banana","Pineapple","Pineapples take almost 2 years to grow — patience is sweet, literally!"
42,"I’m yellow outside, white inside, and slip people down in cartoons! Who am I?","Banana","Mango","Papaya","Lemon","Banana","Bananas are technically berries — and they glow under UV light!"
43,"I’m small, round, and grow in bunches — people make wine out of me! Who am I?","Cherry","Grape","Plum","Blueberry","Grape","It takes about 600 grapes to make one bottle of wine!"
44,"I’m leafy and bitter but clean your blood like a superhero! Who am I?","Bitter Gourd","Spinach","Fenugreek","Cabbage","Fenugreek","Fenugreek seeds smell like maple syrup when roasted!"
45,"I’m tall and give sweet syrup — I’m Canada’s pride! Who am I?","Maple Tree","Oak Tree","Teak Tree","Bamboo","Maple Tree","It takes 40 liters of maple sap to make just 1 liter of maple syrup!"
46,"I’m red, juicy, and shaped like a heart — perfect for lovers! Who am I?","Apple","Strawberry","Cherry","Watermelon","Strawberry","Strawberries are the only fruit with seeds on the outside!"
47,"I’m green outside, pink inside, and full of water! Who am I?","Guava","Watermelon","Kiwi","Papaya","Watermelon","Watermelons are 92% water — a perfect summer drink in solid form!"
48,"I’m orange, grow underground, and rabbits love me! Who am I?","Carrot","Radish","Beetroot","Turnip","Carrot","Carrots were originally purple — orange ones came much later!"
49,"I’m green and crunchy — people eat me in salads or drink my juice! Who am I?","Cucumber","Celery","Zucchini","Bottle Gourd","Cucumber","Cucumbers are 95% water — they can help cool your body in summer!"
50,"I’m brown, hard, and people make oil from me — I’m everyone’s hair bestie! Who am I?","Coconut","Almond","Walnut","Castor Seed","Almond","Almonds are seeds, not nuts — they come from a fruit similar to peaches!"
51,"I’m green, bitter, and full of bumps — moms love me, kids hate me! Who am I?","Bitter Gourd","Cucumber","Bottle Gourd","Zucchini","Bitter Gourd","Bitter gourd helps control blood sugar naturally!"
52,"I’m white outside, purple inside — a true color twist! Who am I?","Yam","Sweet Potato","Beetroot","Purple Potato","Sweet Potato","Sweet potatoes are packed with beta-carotene — great for your eyes!"
53,"I’m tiny and green — people use me in pulao to add beauty and taste! Who am I?","Green Pea","Coriander Seed","Cumin","Mustard Seed","Green Pea","Peas were once considered royal food — commoners couldn’t eat them!"
54,"I’m tall, strong, and my wood is used to make furniture! Who am I?","Teak Tree","Bamboo","Oak Tree","Maple Tree","Teak Tree","Teak wood doesn’t rust metal — that’s why it’s used in ships!"
55,"I’m small and spicy, used in biryani to make it royal! Who am I?","Cardamom","Clove","Pepper","Star Anise","Cardamom","Cardamom is called the ‘Queen of Spices’ and is one of the oldest spices in the world!"
56,"I’m brown, rough, and full of sweetness inside — I’m nature’s candy! Who am I?","Date","Fig","Sapodilla","Tamarind","Date","Dates can last for years when dried — desert warriors carried them as snacks!"
57,"I’m small and pinkish-red, people use me to make jams — I’m full of seeds! Who am I?","Raspberry","Strawberry","Mulberry","Gooseberry","Raspberry","Raspberries are actually made of around 100 tiny fruits stuck together!"
58,"I’m yellow, sweet, and called the ‘King of Fruits’ in India! Who am I?","Banana","Mango","Pineapple","Jackfruit","Mango","There are over 1,000 varieties of mangoes in the world!"
59,"I’m small, red, and grow in bunches — people put me on cakes! Who am I?","Cherry","Berry","Grape","Pomegranate","Cherry","Cherry trees can produce fruit for 100 years if cared for properly!"
60,"I’m big, spiky, and smell weird — people say I’m the stinkiest fruit! Who am I?","Durian","Jackfruit","Pineapple","Breadfruit","Durian","Durian is banned in many hotels and metros due to its strong smell!"
61,"I’m small, white, and make everyone cry when I enter the kitchen! Who am I?","Garlic","Onion","Radish","Ginger","Onion","Cutting onions releases a gas that mixes with your tears to make acid — mini chemistry experiment!"
62,"I’m spicy and red — I turn every dish into fire! Who am I?","Red Chili","Tomato","Paprika","Capsicum","Red Chili","The burning feeling from chilies is not real heat — it’s your brain being tricked!"
63,"I’m green, long, and kids call me ‘snake’ in the plate! Who am I?","Bottle Gourd","Snake Gourd","Zucchini","Cucumber","Snake Gourd","Snake gourd can grow more than 5 feet long — real ‘vegetable python’!"
64,"I’m round, green outside and white inside — I cool your tummy! Who am I?","Bottle Gourd","Ash Gourd","Cucumber","Pumpkin","Ash Gourd","Ash gourd is used in Indian temples to make sacred drinks like ‘Panchamrut’!"
65,"I’m fat, round, and orange — kids make lanterns out of me! Who am I?","Pumpkin","Carrot","Sweet Potato","Orange","Pumpkin","Pumpkins are technically fruits — and can float in water like boats!"
66,"I’m red and round — people confuse me with vegetables but I’m actually a fruit! Who am I?","Tomato","Cherry","Apple","Pomegranate","Tomato","Tomatoes were once believed to be poisonous — imagine missing pizza sauce!"
67,"I’m green, small, and spicy — people use me to make pickles powerful! Who am I?","Green Chili","Coriander","Mint","Spinach","Green Chili","Green chilies help release endorphins — that’s why spicy food feels addictive!"
68,"I’m tall, have long leaves, and give you coconut water when you’re tired! Who am I?","Palm Tree","Coconut Tree","Banana Tree","Bamboo","Coconut Tree","Every part of the coconut tree is useful — that’s why it’s called ‘Kalpavriksha’ in Sanskrit!"
69,"I’m green and flat — people use me to make chutney or decorate biryani! Who am I?","Mint","Coriander","Fenugreek","Spinach","Coriander","Coriander leaves and seeds come from the same plant — double benefit!"
70,"I’m round and purple — you see me on pizzas and burgers! Who am I?","Onion","Beetroot","Brinjal","Radish","Brinjal","Brinjal (eggplant) was once called the ‘mad apple’ in Europe!"
71,"I’m long and yellow — monkeys can’t live without me! Who am I?","Banana","Mango","Papaya","Jackfruit","Banana","Bananas share 50% of their DNA with humans — so basically, you’re half banana!"
72,"I’m brown and rough — people break me to drink my juice! Who am I?","Coconut","Areca Nut","Tamarind","Walnut","Coconut","Coconuts can float across oceans and grow on new islands — natural travelers!"
73,"I’m green and have thorns — but I give sweet fruit! Who am I?","Cactus","Papaya","Jackfruit","Pineapple","Cactus","Cactus stores water for months — desert’s own water bottle!"
74,"I’m small and black — I make your food smell royal! Who am I?","Clove","Black Pepper","Cumin","Mustard Seed","Clove","Clove oil is also used by dentists as a natural painkiller!"
75,"I’m green and leafy — cartoon sailors eat me to become strong! Who am I?","Spinach","Lettuce","Cabbage","Broccoli","Spinach","Spinach made Popeye famous — and iron-rich foods too!"
76,"I’m golden, shiny, and people say I bring luck on New Year! Who am I?","Pineapple","Orange","Lemon","Apple","Orange","Oranges are not naturally occurring — they’re a mix of pomelo and mandarin!"
77,"I’m small and brown — I make trees grow stronger! Who am I?","Seed","Nut","Root","Stem","Seed","Every big tree you see today started from one tiny seed — small beginnings, big results!"
78,"I’m long and green — people eat my leaves and call me ‘drumstick’! Who am I?","Moringa","Bamboo","Zucchini","Green Bean","Moringa","Moringa is called the ‘Miracle Tree’ — every part of it is edible and full of nutrients!"
79,"I’m tall, give shade, and children swing on my branches! Who am I?","Banyan Tree","Mango Tree","Neem Tree","Peepal Tree","Banyan Tree","The Great Banyan Tree in India covers 3.5 acres — it looks like a forest itself!"
80,"I’m green, curly, and give you fresh air at home! Who am I?","Money Plant","Tulsi","Aloe Vera","Bamboo Plant","Money Plant","Money plants can grow even in water — that’s why they’re seen in bottles everywhere!"
81,"I’m small, red, and have seeds on my skin — I’m everyone’s dessert crush! Who am I?","Cherry","Strawberry","Pomegranate","Raspberry","Strawberry","Strawberries are the only fruits that wear their seeds outside — true fashion icons!"
82,"I’m green outside and pink inside — summer can’t start without me! Who am I?","Papaya","Watermelon","Guava","Kiwi","Watermelon","Watermelon is 92% water — basically nature’s juicy water bottle!"
83,"I’m long, orange, and help you see in the dark! Who am I?","Pumpkin","Carrot","Sweet Potato","Papaya","Carrot","Carrots are rich in Vitamin A — that’s why rabbits never need glasses!"
84,"I’m green and smell fresh — people use me to make mint chutney! Who am I?","Coriander","Mint","Fenugreek","Spinach","Mint","Mint cools your mouth because it tricks your brain into feeling cold — science magic!"
85,"I’m yellow outside, white inside, and make everyone slip on roads! Who am I?","Banana","Mango","Pineapple","Papaya","Banana","Banana peels are so slippery that they became a classic cartoon joke worldwide!"
86,"I’m sour, small, and Indian moms say I’m good for hair! Who am I?","Gooseberry (Amla)","Lemon","Tamarind","Orange","Gooseberry (Amla)","Amla has more Vitamin C than 20 oranges — real power fruit!"
87,"I’m brown and sticky — people use me to make sweet chutney! Who am I?","Date","Tamarind","Fig","Raisin","Tamarind","Tamarind trees can live for over 200 years — sweet and strong both!"
88,"I’m green, have tiny trees on my head — I look like a mini forest! Who am I?","Cauliflower","Broccoli","Cabbage","Spinach","Broccoli","Broccoli is actually an edible flower — you’re eating blossoms, not veggies!"
89,"I’m round, brown, and grow under the ground — everyone loves my fries! Who am I?","Potato","Onion","Beetroot","Radish","Potato","Potatoes were the first vegetables grown in space — literally out of this world!"
90,"I’m tall and thin — people use me as natural toothbrush! Who am I?","Neem Tree","Bamboo","Tulsi Plant","Peepal Tree","Neem Tree","Neem twigs act as antibacterial toothbrushes — India’s ancient dental care system!"
91,"I’m juicy and red — you see me every Valentine’s Day! Who am I?","Strawberry","Cherry","Apple","Pomegranate","Cherry","Cherries were once used as natural cough syrup — sweet medicine alert!"
92,"I’m green and grow in pods — sometimes people call me a pea! Who am I?","Green Bean","Pea","Lentil","Chickpea","Pea","Peas are one of the oldest cultivated crops — humans have eaten them for 10,000 years!"
93,"I’m small, brown, and make your food smell like heaven — I’m a spice star! Who am I?","Cumin","Cardamom","Clove","Black Pepper","Cardamom","Cardamom is called the 'Queen of Spices' — tiny but royal!"
94,"I’m yellow and sour — people make refreshing drinks out of me! Who am I?","Lemon","Mango","Orange","Pineapple","Lemon","Lemon trees can produce fruit all year long — the true overachievers of the plant world!"
95,"I’m big and spiky outside, but sweet inside — a real surprise package! Who am I?","Pineapple","Jackfruit","Durian","Cactus","Pineapple","Pineapple plants take nearly 2 years to grow one fruit — patience level: tropical!"
96,"I’m green, leafy, and full of iron — your body loves me! Who am I?","Spinach","Cabbage","Mint","Basil","Spinach","Spinach inspired Popeye cartoons — eat me and flex your muscles!"
97,"I’m crunchy, orange, and sweet — bunnies adore me! Who am I?","Carrot","Pumpkin","Sweet Potato","Turnip","Carrot","Carrots were originally purple, not orange — fashion changed over time!"
98,"I’m small, brown, and go inside chocolates — everyone loves me! Who am I?","Almond","Walnut","Hazelnut","Cashew","Hazelnut","Hazelnuts are the secret behind Nutella — world’s favorite chocolate spread!"
99,"I’m sour, green, and used to make pickles — Who am I?","Raw Mango","Lemon","Amla","Gooseberry","Raw Mango","Raw mangoes help prevent heat strokes — that’s why Indians love ‘aam panna’!"
100,"I’m long, green, and full of water — your skin loves me! Who am I?","Cucumber","Bottle Gourd","Zucchini","Ridge Gourd","Cucumber","Cucumbers are 96% water — literally edible hydration!"
101,"I’m tall, thin, and full of sugar — kids suck my juice with joy! Who am I?","Sugarcane","Bamboo","Banana Tree","Teak","Sugarcane","Sugarcane was the first plant humans used to make sugar more than 2500 years ago!"
102,"I’m green, round, and people eat me at weddings with biryani! Who am I?","Peas","Capsicum","Cabbage","Green Bean","Peas","Peas were once eaten raw as a dessert in ancient times!"
103,"I’m red and spicy — I make people sweat without heat! Who am I?","Red Chili","Tomato","Paprika","Beetroot","Red Chili","Chili was once used to scare elephants from farms — and it worked!"
104,"I’m tiny, brown, and full of oil — you use me in laddoos! Who am I?","Sesame","Cumin","Mustard","Fenugreek","Sesame","Sesame seeds are one of the oldest oil sources in human history!"
105,"I’m small, orange, and my name rhymes with ‘carrot junior’! Who am I?","Baby Carrot","Pumpkin Seed","Sweet Corn","Apricot","Baby Carrot","Baby carrots are not natural — they’re regular carrots cut small and polished!"
106,"I’m green and look like a tree — but I’m a veggie! Who am I?","Broccoli","Cauliflower","Spinach","Asparagus","Broccoli","Broccoli has more Vitamin C than an orange!"
107,"I’m white, look like a brain, and taste like broccoli’s cousin! Who am I?","Cauliflower","Cabbage","Turnip","Radish","Cauliflower","Cauliflower is 92% water — basically a healthy sponge!"
108,"I’m green and long — people fry me with besan and call it bhaji! Who am I?","Okra","Bottle Gourd","Ridge Gourd","Zucchini","Okra","Okra’s sticky juice can be used to make paper stronger!"
302,"I’m full of water but live in the sky. Who am I?","Rain","Cloud","Rainbow","Fog","Cloud","Clouds can weigh over a million pounds — they’re just floating water!"
109,"I’m red, sweet, and tiny — I make Valentine’s day tastier! Who am I?","Strawberry","Cherry","Raspberry","Cranberry","Cherry","Cherry trees can live up to 100 years and still bear fruit!"
110,"I’m green and spiral-shaped — people say I look like a ‘vegetable alien’! Who am I?","Romanesco","Broccoli","Cauliflower","Artichoke","Romanesco","Romanesco is a natural fractal — same shape repeats at every scale!"
111,"I’m brown, oval, and have a big seed — smoothie lovers adore me! Who am I?","Avocado","Mango","Kiwi","Sapota","Avocado","Avocados were once called ‘butter fruit’ because of their creamy texture!"
112,"I’m red outside, white inside, and my juice can stain clothes forever! Who am I?","Beetroot","Radish","Onion","Turnip","Beetroot","Beetroot juice was used as lipstick in ancient times!"
113,"I’m tiny and white — but grow into a huge tree if you plant me! Who am I?","Seed","Nut","Grain","Pod","Seed","The world’s largest tree, the sequoia, started as a tiny seed smaller than a fingernail!"
114,"I’m green and climb like a snake — people fry my skin with masala! Who am I?","Ridge Gourd","Snake Gourd","Bottle Gourd","Zucchini","Ridge Gourd","Ridge gourds turn into loofahs when dried — natural bath sponge!"
115,"I’m small, green, and have wings — not a bird, but tasty! Who am I?","Winged Bean","Peas","Okra","Capsicum","Winged Bean","Every part of the winged bean is edible — from roots to flowers!"
116,"I’m green and smell strong — people put me in chutneys! Who am I?","Mint","Coriander","Basil","Celery","Mint","Mint was used in ancient Egypt for making perfumes and toothpaste!"
117,"I’m long and purple — kings used to call me royal veggie! Who am I?","Brinjal","Purple Yam","Beetroot","Radish","Brinjal","Brinjal (eggplant) was once called the ‘love apple’ in Italy!"
118,"I’m tall, sacred, and people pray under me in India! Who am I?","Peepal Tree","Banyan Tree","Neem Tree","Tulsi Plant","Peepal Tree","Peepal tree releases oxygen even at night — nature’s air purifier!"
119,"I’m small, red, and explode with sour taste — kids love me with salt! Who am I?","Tamarind","Pomegranate","Karonda","Cranberry","Karonda","Karonda is rich in Vitamin C — used in pickles and summer drinks!"
120,"I’m tall and thin — pandas call me lunch! Who am I?","Bamboo","Sugarcane","Teak Tree","Banana Plant","Bamboo","Bamboo is the fastest-growing plant — up to 3 feet in a single day!"
121,"I’m green and shaped like a tiny tree — I’m every mom’s favorite! Who am I?","Broccoli","Spinach","Cabbage","Cauliflower","Broccoli","Kids hate me, but I protect them from diseases like a superhero!"
122,"I’m round, brown, and grow under the soil — French fries owe me everything! Who am I?","Potato","Onion","Yam","Beetroot","Potato","Potatoes were the first vegetable grown in space!"
123,"I’m green and look like a tiny umbrella — people love me in soups! Who am I?","Coriander","Celery","Parsley","Basil","Parsley","Romans used parsley to freshen their breath after feasts!"
124,"I’m tall, have big leaves, and give sweet fruit used in milkshakes! Who am I?","Banana Plant","Papaya Tree","Mango Tree","Coconut Tree","Papaya Tree","Papaya leaves are used to cure dengue fever in traditional medicine!"
125,"I’m pink outside, white inside, and taste like perfume! Who am I?","Lychee","Rambutan","Guava","Longan","Lychee","Lychees were once a royal fruit in China — only kings could eat them!"
126,"I’m orange, round, and people drink me to avoid colds! Who am I?","Orange","Sweet Lime","Peach","Apricot","Orange","One orange gives your daily vitamin C — no need for supplements!"
127,"I’m red, have a crown, and my seeds are jewels! Who am I?","Pomegranate","Cherry","Apple","Guava","Pomegranate","Each pomegranate can have more than 600 seeds — each one edible!"
128,"I’m green and round — farmers grow me for oil! Who am I?","Groundnut","Mustard","Sunflower","Soybean","Soybean","Soybeans are used to make tofu, milk, and even biodiesel!"
129,"I’m brown and wrinkled — people use me to sweeten sweets! Who am I?","Date","Fig","Raisin","Tamarind","Date","Dates are one of the oldest cultivated fruits — eaten since 6000 BC!"
130,"I’m green and strong — people call me ‘drumstick tree’! Who am I?","Moringa","Neem","Curry Leaf","Tulsi","Moringa","Moringa leaves have more Vitamin C than oranges and more calcium than milk!"
131,"I’m tiny and golden — I make oil that smells royal! Who am I?","Mustard Seed","Cumin","Coriander Seed","Fenugreek","Mustard Seed","Mustard was the world’s first condiment — used by Romans 2000 years ago!"
132,"I’m brown and rough outside, but white and creamy inside — breakfast buddy! Who am I?","Coconut","Sapota","Fig","Guava","Coconut","Coconut trees are called ‘Kalpavriksha’ — the tree that gives everything useful!"
133,"I’m sweet, red, and have a heart shape — love fruit of the garden! Who am I?","Strawberry","Cherry","Apple","Plum","Strawberry","Strawberries are the first fruit to ripen in spring!"
134,"I’m yellow, small, and sour — I make your mouth twist! Who am I?","Lemon","Orange","Sweet Lime","Apricot","Lemon","Lemons can power a small clock — real citrus electricity!"
135,"I’m green, climb walls, and remove bad air from your room! Who am I?","Money Plant","Ivy","Bamboo","Tulsi","Money Plant","NASA listed me as one of the best plants for indoor air purification!"
136,"I’m yellow and tiny — but without me, mustard sauce wouldn’t exist! Who am I?","Mustard Seed","Cumin","Coriander","Fenugreek","Mustard Seed","Mustard seeds are mentioned in ancient Indian Vedas and the Bible alike!"
137,"I’m round, green, and protect your heart — salad superstar! Who am I?","Avocado","Cucumber","Lettuce","Broccoli","Avocado","Avocados have more potassium than bananas!"
138,"I’m brown, crunchy, and grow under the soil — squirrels adore me! Who am I?","Groundnut","Almond","Walnut","Cashew","Groundnut","Groundnuts are not actually nuts — they belong to the legume family!"
139,"I’m tall, have holy leaves, and live in every Indian home! Who am I?","Tulsi","Neem","Peepal","Aloe Vera","Tulsi","Tulsi leaves are used in prayers and also as natural medicine for colds!"
140,"I’m red and round — Newton got his best idea because of me! Who am I?","Apple","Mango","Orange","Plum","Apple","Apples float in water because they’re 25% air!"
141,"I’m green, spiky, and live in the desert — but full of life! Who am I?","Cactus","Aloe Vera","Bamboo","Neem","Cactus","Some cactus species can live for 200 years without much water!"
142,"I’m pink, soft, and smell like heaven — but I’m not for eating! Who am I?","Rose","Lotus","Jasmine","Tulip","Rose","Rose petals are edible — used in gulkand and rose water!"
143,"I’m small, black, and the king of spices! Who am I?","Black Pepper","Clove","Cumin","Cardamom","Black Pepper","In ancient times, black pepper was so valuable it was called ‘black gold’!"
144,"I’m red and dry — I make spicy chutney magical! Who am I?","Dry Red Chili","Paprika","Cayenne","Tamarind","Dry Red Chili","Dried chilies are actually milder than fresh ones — surprise!"
145,"I’m tall, have yellow flowers, and always face the sun! Who am I?","Sunflower","Marigold","Daisy","Tulip","Sunflower","Sunflowers move their heads following the sun — a behavior called heliotropism!"
146,"I’m soft and sweet — used in making ice creams and shakes! Who am I?","Chikoo","Banana","Custard Apple","Guava","Chikoo","Chikoo trees can live up to 100 years while still bearing fruit!"
147,"I’m green and used in toothpaste ads — fresh breath hero! Who am I?","Mint","Basil","Coriander","Aloe Vera","Mint","Ancient Greeks rubbed mint leaves on tables to welcome guests with fragrance!"
148,"I’m sour, sticky, and brown — people love me in chutneys! Who am I?","Tamarind","Date","Raisin","Fig","Tamarind","Tamarind seeds are polished and used as natural toy marbles in villages!"
149,"I’m green and people use me as a healing gel — beauty favorite! Who am I?","Aloe Vera","Cactus","Tulsi","Mint","Aloe Vera","Aloe Vera gel was called ‘the plant of immortality’ by ancient Egyptians!"
150,"I’m green outside, red inside, and full of tiny black polka dots! Who am I?","Kiwi","Watermelon","Guava","Papaya","Watermelon","Every part of a watermelon is edible — even the rind and seeds!"
151,"I hang in bunches and make people slip in cartoons! Who am I?","Banana","Mango","Papaya","Guava","Banana","Bananas are berries, but strawberries aren’t — science loves confusion!"
152,"I’m round, juicy, and people call me the ‘King of Fruits’! Who am I?","Apple","Mango","Peach","Orange","Mango","India grows more mangoes than any other country — the mango capital of the world!"
153,"I grow underground and make French fries famous! Who am I?","Potato","Carrot","Radish","Turnip","Potato","Potatoes were the first vegetables grown in space by NASA!"
154,"I’m orange and crunchy — rabbits can’t resist me! Who am I?","Pumpkin","Carrot","Sweet Potato","Peach","Carrot","Carrots were originally purple — orange ones came later!"
155,"I look like a tiny tree on your plate! Who am I?","Cauliflower","Broccoli","Spinach","Kale","Broccoli","Broccoli is packed with Vitamin C — even more than an orange!"
156,"I’m sour and yellow — people make funny faces after tasting me! Who am I?","Lemon","Pineapple","Tamarind","Orange","Lemon","Lemons can float in water because they are less dense than their peel!"
157,"I’m small, round, and purple — I make delicious wine! Who am I?","Grape","Blueberry","Cherry","Plum","Grape","It takes about 700 grapes to make one bottle of wine!"
158,"I’m green and have peas inside me — kids love popping me open! Who am I?","Pea Pod","Lady Finger","Beans","Bitter Gourd","Pea Pod","Peas are one of the oldest cultivated crops — over 7,000 years old!"
159,"I’m red and heart-shaped — I’m everyone’s favorite fruit in desserts! Who am I?","Strawberry","Cherry","Raspberry","Apple","Strawberry","Strawberries are the only fruit with seeds on the outside!"
160,"I’m brown outside, sweet inside, and people call me ‘nature’s candy’! Who am I?","Date","Fig","Raisin","Tamarind","Date","Dates were one of the first fruits cultivated by humans — over 6,000 years ago!"
