"id","fact","image","question","option_a","option_b","option_c","option_d","correct_option"
14,"Pigeons navigate","/static/animal_images/Gemini_Generated_Image_3ekhag3ekhag3ekh (2).png","I can find my way home without a phone or map! Who am I?","Pigeon","Peacock","Sparrow","Hen","A"
15,"Sparrows sleep locked","/static/animal_images/Gemini_Generated_Image_3ekhag3ekhag3ekh.png","I sleep on branches without falling off, thanks to my auto-locking claws! Who am I?","Bat","Monkey","Sparrow","Squirrel","C"
16,"Parrots mimic sounds","/static/animal_images/Gemini_Generated_Image_5ou86t5ou86t5ou8.png","I can copy your laughter, your doorbell, or even your parents arguing! Who am I?","Parrot","Crow","Duck","Hen","A"
17,"Deer regrow antlers","/static/animal_images/Gemini_Generated_Image_iygp4jiygp4jiygp (6).png","I grow new crowns every year—my antlers are my yearly makeover! Who am I?","Moose","Deer","Elephant","Giraffe","B"
18,"Hippos have sunscreen sweat","/static/animal_images/Gemini_Generated_Image_iygp4jiygp4jiygp (7).png","I don’t need sunscreen because my body makes its own pink lotion! Who am I?","Pig","Elephant","Hippopotamus","Rhino","C"
19,"Alligators swallow stones","/static/animal_images/Gemini_Generated_Image_iygp4jiygp4jiygp (8).png","I swallow big stones to help me sink in water—my own natural weights! Who am I?","Alligator","Penguin","Duck","Seal","A"
20,"Peacock dances","/static/animal_images/Gemini_Generated_Image_iygp4jiygp4jiygp.png","I spread my colorful feathers and dance like I’m saying, “Look at me!” Who am I?","Parrot","Peacock","Duck","Swan","B"
21,"Ducks oil feathers","/static/animal_images/Gemini_Generated_Image_qen7i6qen7i6qen7 (1).png","I oil my feathers every day so I can swim without getting wet! Who am I?","Swan","Duck","Penguin","Goose","B"
22,"Cows have 4 stomachs","/static/animal_images/Gemini_Generated_Image_qxcjz4qxcjz4qxcj (5).png","I have four stomachs and spend hours chewing food! Who am I?","Cow","Deer","Camel","Goat","A"
23,"Elephants walk silently","/static/animal_images/Gemini_Generated_Image_qxcjz4qxcjz4qxcj (6).png","I’m giant but walk silently—my feet have shock absorbers! Who am I?","Elephant","Rhino","Hippo","Giraffe","A"
24,"Lions sleep 20 hrs/day","/static/animal_images/Gemini_Generated_Image_qxcjz4qxcjz4qxcj (7).png","I’m the king who sleeps all day while my queen hunts! Who am I?","Tiger","Lion","Leopard","Panther","B"
25,"Golden Retriever soft mouth","/static/animal_images/Gemini_Generated_Image_qxcjz4qxcjz4qxcj (8).png","I can carry a raw egg in my mouth without breaking it! Who am I?","Golden Retriever","Cat","Crocodile","Dolphin","A"
26,"Cats mark scent","/static/animal_images/Gemini_Generated_Image_qxcjz4qxcjz4qxcj (9).png","When I rub against you, I’m claiming you as mine! Who am I?","Cat","Dog","Rabbit","Panda","A"
27,"Horses sleep standing","/static/animal_images/Gemini_Generated_Image_qxcjz4qxcjz4qxcj.png","I can sleep standing up because my legs lock like magic! Who am I?","Cow","Horse","Zebra","Deer","B"
28,"Bears torpor sleep","/static/animal_images/Gemini_Generated_Image_xs8hlbxs8hlbxs8h (1).png","I don’t really hibernate—I just nap lightly and wake up for snacks! Who am I?","Bear","Panda","Fox","Tiger","A"
29,"Pandas eat bamboo","/static/animal_images/Gemini_Generated_Image_xs8hlbxs8hlbxs8h (2).png","I spend half my day eating bamboo—food is my full-time job! Who am I?","Koala","Panda","Sloth","Rabbit","B"
30,"Foxes magnetic hunting","/static/animal_images/Gemini_Generated_Image_xs8hlbxs8hlbxs8h (3).png","I use the Earth’s magnetic field to aim my jumps—GPS built-in! Who am I?","Frog","Cat","Fox","Owl","C"
31,"Kangaroos can’t walk backward","/static/animal_images/Gemini_Generated_Image_xs8hlbxs8hlbxs8h (4).png","I can’t walk backward—my legs and tail only move forward! Who am I?","Ostrich","Kangaroo","Penguin","Elephant","B"
32,"Camels store fat in hump","/static/animal_images/Gemini_Generated_Image_xs8hlbxs8hlbxs8h.png","People think I store water in my hump, but it’s actually fat! Who am I?","Horse","Elephant","Camel","Donkey","C"
33,"Inspired by insects, this six-legged walker uses a 'Tripod Gait,' keeping three legs down at all times.","/static/animal_images/Gemini_Generated_Image_3kmc7u3kmc7u3kmc.png","I have the firepower of a tank, the stability of a spider, and can climb mountains. My secret is my six legs and my 'Tripod Gait.' Who am I?","A Mobile Artillery Vehicle","A Heavy Tracked Excavator","A Spider Tank","A Two-Legged Mech Suit","C"
34,"This design is similar to space probes that fly incredibly close to the Sun, like NASA's Parker Solar Probe.","/static/animal_images/Gemini_Generated_Image_3tqyud3tqyud3tqy.png","I hold the record for the fastest human-made object, traveling over 430,000 mph. Who am I?","The Hubble Space Telescope","The Voyager 1 Probe","The Parker Solar Probe","The Juno Jupiter Orbiter","C"
35,"The classic 'flying saucer' shape became popular after the 1947 Kenneth Arnold sighting.","/static/animal_images/Gemini_Generated_Image_3tqyud3tqyud3tqy (1).png","I am an aerial object whose origin is unknown, often associated with extraterrestrial visitors. What am I?","A Secret Military Drone","An Experimental Aircraft","An Optical Illusion","A UFO (Unidentified Flying Object)","D"
36,"Quadcopters achieve flight stability by constantly changing the speed of their four propellers independently.","/static/animal_images/Gemini_Generated_Image_6asa0o6asa0o6asa.png","I have four arms and rely on constant, rapid adjustments to stay steady in the air. Who am I?","A Helicopter","A Fixed-Wing Jet","A Hot Air Balloon","A Quadcopter Drone","D"
37,"This device highlights the 'Steampunk' aesthetic, powered by gears and retrofuturistic science.","/static/animal_images/Gemini_Generated_Image_6asa0o6asa0o6asa (1).png","I am a fantastic machine powered by gears and retrofuturistic science, often featuring pilots in spherical cockpits. Who am I?","A Modern Fighter Jet","A Steampunk Airship","A Nuclear Submarine","A Mars Rover","B"
38,"Many sci-fi ships feature sharp, exposed components for dramatic effect.","/static/animal_images/Gemini_Generated_Image_6asa0o6asa0o6asa (2).png","I am a high-speed starship designed for combat, featuring multiple exposed blades. What am I?","A Cargo Freighter","An Interplanetary Shuttle","A Fighter/Interceptor Starship","A Deep-Space Satellite","C"
39,"Modern industrial robot arms can achieve incredible precision using up to six joints, or 'degrees of freedom'.","/static/animal_images/Gemini_Generated_Image_co6k62co6k62co6k.png","I am highly precise, found in factories, and can be programmed for welding or assembly. What am I?","A Crane","A Digger","An Industrial Robot Arm","A Simple Lever","C"
40,"Large tracked vehicles like this use low ground pressure systems to avoid sinking into soft terrain.","/static/animal_images/Gemini_Generated_Image_euookgeuookgeuoo - Copy.png","I am a massive, tracked vehicle built for harsh, unstable environments. Who am I?","A Desert Dune Buggy","A Standard Truck","A Submersible Vehicle","A Heavy-Duty Planetary Rover","D"
41,"Eight-legged designs offer superior stability by keeping four legs on the ground at all times.","/static/animal_images/Gemini_Generated_Image_hmdx3hmdx3hmdx3h.png","I am an eight-legged walker with antennae and machinery for rough terrain. What am I?","A Quadruped Robot","A Bipedal Mech","A Steampunk Arachnid Walker","A Hovercraft","C"
42,"During a spacewalk (EVA), astronauts wear suits that act as mini spacecrafts.","/static/animal_images/Gemini_Generated_Image_k0cxbpk0cxbpk0cx.png","I float silently in space, protected by a pressurized suit. Who am I?","A High-Altitude Skydiver","A Deep-Sea Diver","A Fighter Pilot","An Astronaut (on EVA)","D"
43,"A key principle of rocket launches is 'staging' — shedding empty parts to reduce weight.","/static/animal_images/Gemini_Generated_Image_k0cxbpk0cxbpk0cx (1).png","I defy gravity, propelled by immense thrust and fire. Who am I?","A Hot Air Balloon","A Fighter Jet","A Space Launch Rocket","A Parachute","C"
44,"This circular device suggests communication or sensing using large antennae.","/static/animal_images/Gemini_Generated_Image_reoylgreoylgreoy.png","I am a scientific instrument with large dishes to listen across vast distances. Who am I?","A Cooking Device","A Simple Telescope","A Radio Telescope / Advanced Sensor Array","A Water Pump","C"
45,"The numerous antennae collect scientific data like magnetic fields and plasma waves.","/static/animal_images/Gemini_Generated_Image_reoylgreoylgreoy (1).png","I am an explorer of space, bristling with dishes to gather cosmic secrets. Who am I?","A Space Station","A Starship","A Scientific Probe / Satellite","A Space Shuttle","C"
46,"The 'Insectoid Alien' archetype represents beings with different psychologies and exoskeletons.","/static/animal_images/Gemini_Generated_Image_reoylgreoylgreoy (2).png","I am a creature from beyond the stars, sleek and multi-limbed. Who am I?","A Giant Insect","A Robot","An Insectoid Alien","A Human in a Costume","C"
47,"Future Martian bases may use inflatable modules for habitats on distant worlds.","/static/animal_images/Gemini_Generated_Image_reoylgreoylgreoy (3).png","I am a pioneering outpost featuring domes and solar panels. Who am I?","A Submarine Base","A Desert Station","A Space Colony / Martian Base","An Arctic Base","C"
48,"Modern drone controllers often integrate smartphones for GPS and video feed.","/static/animal_images/Gemini_Generated_Image_s6x26vs6x26vs6x2 (1).png","I am the link between human and flying machine, holding a live video feed. Who am I?","A Car Remote","A TV Remote","A Drone Controller","A Gamepad","C"
49,"The most common type of 3D printing is FDM — additive layer-by-layer construction.","/static/animal_images/Gemini_Generated_Image_s6x26vs6x26vs6x2 (2).png","I am a machine that builds objects layer by layer from digital designs. Who am I?","A Laser Engraver","A Sewing Machine","A 3D Printer","A CNC Mill","C"
50,"Modern turbofan jet engines achieve efficiency with a large front fan and bypass airflow.","/static/animal_images/Gemini_Generated_Image_s6x26vs6x26vs6x2 (3) - Copy.png","I suck in air, ignite fuel, and blast out gas to fly giants through the sky. Who am I?","A Piston Engine","A Rocket Engine","A Propeller Engine","A Turbofan Jet Engine","D"
51,"Mars Rovers use a 'rocker-bogie' suspension system for stability on rough terrain.","/static/animal_images/Gemini_Generated_Image_s6x26vs6x26vs6x2 (4).png","I travel across the red surface of Mars searching for signs of water. Who am I?","An Earth Research Vehicle","A Lunar Lander","A Mars Rover","A Deep-Sea Submarine","C"
52,"VR headsets use two images to create depth and immersion in a 3D virtual world.","/static/animal_images/Gemini_Generated_Image_s6x26vs6x26vs6x2 (6).png","I cover your eyes and ears to transport you into a new digital realm. Who am I?","A 3D Movie Glasses","A Simple Headphone","A Virtual Reality Headset","A Binocular","C"
53,"This represents the fusion of biology and technology — the 'Biopunk' aesthetic.","/static/animal_images/Gemini_Generated_Image_xt8olyxt8olyxt8o.png","I am a mythical creature reborn through science, with solar wings and glowing circuits. Who am I?","A Simple Mythological Beast","A Traditional Robot","A Biomechanical Dragon / Cyberserpent","An Ancient Fossil","C"
54,"✨ Fact: Your shadow copies everything you do — but never talks back! It changes shape depending on the Sun’s angle, and disappears completely in total darkness. That’s nature’s own silent twin! 🖤","🕵️‍♂️👣 = ?","I hide your steps but keep your secrets.","A) Mask","B) Shoes","C) Shadow","D) Eraser","C"
55,"💾 Fact: A USB drive can hold millions of songs or photos — all in something smaller than your thumb! The world’s smallest USB was just 1 cm long — smaller than an eraser tip! 🎶","📼🔒 = ?","I hold songs you forgot and moments you saved.","A) Diary","B) Old Phone","C) Photo Album","D) USB Drive","D"
56,"📺 Fact: The first TV broadcast happened in 1928 — black and white, no sound! Now your smart TV has more power than the first spaceship computer. Crazy, right? 🚀","🔊📺 = ?","I speak without voice and show without eyes.","A) Radio","B) TV","C) Headphones","D) Podcast","B"
57,"🔇 Fact: Complete silence doesn’t really exist! Even in a soundproof room, you can still hear your heartbeat and breathing. That’s your body’s private concert. ❤️","🤐❓ = ?","I vanish when you call my name, yet I'm always there.","A) Silence","B) Echo","C) Shadow","D) Thought","A"
58,"🤝 Fact: Promises are like invisible glue between people. Even when hearts break, keeping a promise makes you stronger and trustworthy. 🧠💖","💔➡️🫂 = ?","I can be broken but still can hold you together.","A) Promise","B) Glass","C) Rope","D) Bottle","A"
59,"⏰ Fact: The clock was invented around 725 AD in China! Every tick you hear is actually the sound of gears turning — tiny machines keeping your life on time. 🕰️","🔁🏃‍♀️ = ?","I travel in circles but never get dizzy.","A) Clock Hands","B) Wheel","C) Carousel","D) Fan","A"
60,"📬 Fact: The first mailbox was installed in 1653 in Paris! Today, more than 300 billion letters travel each year — that’s like every person on Earth sending 40 letters! 💌","✉️📬 = ?","I’m full of letters but no words live inside me.","A) Mailbox","B) Keyboard","C) Envelope","D) Post Office","A"
61,"⌛ Fact: Everyone has 86,400 seconds a day. Spend them wisely — because unlike money, time never comes back! 💫","⏳💸 = ?","I grow when you waste me and shrink when you use me well.","A) Time","B) Money","C) Battery","D) Food","A"
62,"💬 Fact: Trust takes years to build and seconds to break. It’s the real currency of friendship — not money, but honesty. 🫱🏼‍🫲🏽","🧩🤝 = ?","I am broken by truth but built by trust.","A) Friendship","B) Glass","C) Silence","D) Promise","D"
63,"🌑 Fact: Shadows move faster than you think! They stretch and shrink as the Sun moves — almost like they’re dancing silently. 🌞🖤","☀️🌙 = ?","I can wake without sound and sleep without tiredness.","A) Alarm","B) Shadow","C) Sunflower","D) Sleep Cycle","B"
64,"📱 Fact: Your phone is 100,000 times more powerful than NASA’s Apollo 11 computer, which took humans to the moon! 🚀📲","🌍👖 = ?","I can carry weight of the world yet I fit in your pocket.","A) Map","B) Phone","C) Keychain","D) Wallet","B"
65,"📅 Fact: The world’s first calendar was made by ancient Egyptians using the stars! Every square in your calendar is a story of time and planning. 🌠","🔮📅 = ?","I show you the future but have no eyes.","A) Calendar","B) Horoscope","C) Weather App","D) Clock","A"
66,"🎧 Fact: The first earphones were invented for telephone operators in 1881 — and they weighed 10 TIMES more than today’s AirPods! 😂","👂🔇 = ?","I often come in pairs but never touch each other.","A) Earphones (left/right)","B) Gloves","C) Sunglasses","D) Shoes","A"
67,"🧽 Fact: A real sea sponge is actually a living creature! It cleans ocean water naturally — the ocean’s own cleaning crew! 🌊","🧽💧 = ?","I can be full of holes and still hold water.","A) Sponge","B) Net","C) Sieve","D) Bucket","A"
68,"🛣️ Fact: The longest road in the world is 48,000 km long — you could drive for months and still not reach the end! 🗺️","🚗🧍 = ?","I move you without moving myself.","A) Road","B) Vehicle","C) Elevator","D) Seatbelt","A"
69,"👁️ Fact: Shadows only appear when light hits an object. That’s why astronauts on the Moon have the darkest shadows ever seen! 🌕","👻🔦 = ?","I disappear when you look at me directly.","A) Reflection","B) Shadow","C) Ghost","D) Mirage","B"
70,"🤫 Fact: Once a secret is shared, it can never be truly hidden again. That’s why trust is more powerful than any lock. 🔐","📖🔓 = ?","I can be opened but never closed again.","A) Book","B) Door","C) Secret","D) Letter","C"
71,"🌈 Fact: White light has 7 hidden colors inside — red to violet! Prisms just separate them to show nature’s hidden rainbow. 💎","🌈☀️ = ?","I feed on light but give you color.","A) Prism","B) Plant","C) Paint","D) Rainbow","A"
72,"🔊 Fact: Echoes happen because sound waves bounce off walls or mountains. Bats and dolphins use echoes to “see” in the dark! 🦇🐬","🗣️↩️ = ?","I repeat what you say but with a delay.","A) Echo","B) Tape Recorder","C) Replay","D) Parrot","A"
73,"🔥 Fact: The tip of a match burns at nearly 1,400°C — hotter than lava from a volcano! 🌋","🕯️🔥 = ?","I’m needed to start but useless when finished.","A) Matchstick","B) Candle","C) Lighter","D) Gas","A"
74,"🕰️ Fact: Time is the most valuable thing in the universe! You can’t see it, touch it, or save it — yet it changes everything. Even light takes time to travel. The faster you run after time, the quicker it slips away!","🏃‍♂️💨 = ?","I vanish when you try to hold me, yet you chase me every day.","A) Breath","B) Time","C) Wind","D) Shadow","B"
75,"🎬 Fact: Acting is one of the oldest art forms — ancient Greeks used masks on stage! Every role teaches empathy because an actor lives many lives in one lifetime.","🧑‍🎭🔁 = ?","I wear different faces but keep the same name.","A) Actor","B) Mask","C) Emotion","D) Mirror","A"
76,"🥚 Fact: The egg shell may look fragile, but it’s a perfect natural design — strong enough to protect life inside! An egg symbolizes both secrecy and creation.","🥚🔓 = ?","I keep secrets but spill them when cracked.","A) Safe","B) Egg","C) Code","D) Diary","B"
77,"⌛ Fact: Time is like a doorway — invisible but powerful. Every second you live, you’re stepping into the future. No one can skip it or walk backward through it!","🛤️⏳ = ?","I’m a door with no frame; everyone passes through me.","A) Tunnel","B) Train","C) Time","D) Bridge","C"
78,"💭 Fact: Scientists say emotions affect your body’s chemistry! Stress can make you heavy, while love or laughter makes you feel light. Amazing, right?","🧠🏔️ = ?","I can be heavy as mountains or light as a feather — depends on how you carry me.","A) Knowledge","B) Luggage","C) Emotion","D) Money","C"
79,"🌈 Fact: Your mood affects even how you see colors! Studies show people in good moods notice brighter shades — happiness literally makes the world colorful.","😶‍🌫️🎭 = ?","I’m invisible but show your true colors.","A) Mood","B) Mask","C) Opinion","D) Friendship","A"
80,"🤐 Fact: Secrets are ancient power — even kings and spies used codes to hide them. But once spoken aloud, they lose their mystery forever!","🤫🔊 = ?","I’m born from silence and die in noise.","A) Thought","B) Secret","C) Idea","D) Sleep","B"
81,"🧩 Fact: Codes are the language of computers, spies, and geniuses! Every digital message — even emojis — is secretly converted into numbers (binary code).","🔢🕵️ = ?","I speak in numbers but love to hide in words.","A) Math","B) Password","C) Code","D) Calendar","C"
82,"⚙️ Fact: Escalators are moving stairs invented in 1897 — they use clever gear systems and mirrors in malls to look infinite and fancy!","🪞↕️ = ?","I look like a ladder but take you inside a house of mirrors.","A) Stairs","B) Elevator","C) Escalator","D) Reflection","C"
83,"🌍 Fact: There are over 5 billion people online today — that’s a massive web of connections! Social networks are basically living maps of human life.","📊🧑‍🤝‍🧑 = ?","I’m a map of people, not places.","A) Family Tree","B) Census","C) Social Network","D) School Roll","C"
84,"⚙️ Fact: Gears have ‘teeth’ so they can transfer power perfectly. Without gears, bikes, cars, and even watches wouldn’t work!","🦷🔧 = ?","I have teeth but never bite — I make things smooth or rough.","A) Saw","B) Comb","C) Gear","D) Zipper","C"
85,"🪣 Fact: An empty jar holds space — and that space is what makes it useful! Ancient philosophers even said emptiness gives things their purpose.","💡🪣 = ?","I am bright when empty and useless when full.","A) Lantern","B) Sponge","C) Light Bulb","D) Jar","D"
86,"🪟 Fact: Windows are magical! They let light, reflection, and memories pass through — showing the outside world like a live photo frame.","🪞📸 = ?","I can show you the past but I live in present glass.","A) Mirror","B) Photo Frame","C) Window","D) Memory","C"
87,"🎭 Fact: Curtains have symbolized mystery and drama since ancient theater days — when they open, a new world begins; when they close, it ends.","🎀🪑 = ?","I take a bow but never perform; I sit still while others stand.","A) Cushion","B) Chair","C) Gift","D) Curtain","D"
88,"💔 Fact: A promise isn’t just words — it changes brain chemistry, creating trust! Breaking one causes real stress and emotional pain.","❤️🩹 = ?","I can be broken without touch and fixed without tools.","A) Heart","B) Promise","C) Record","D) Silence","B"
89,"🌻 Fact: Plants can ‘sleep’! Many flowers close at night or in winter to save energy — a natural time management trick from nature.","🌷❄️ = ?","I sleep in winter and wake in summer — yet I never feel cold or hot.","A) Hibernation","B) Plant/Flower","C) Sun","D) Seasonal Clothes","B"
90,"🚦 Fact: The first traffic light was installed in 1868 in London! Without them, cities would literally turn into chaos in just 2 minutes.","📏🔥 = ?","I follow rules but create chaos when ignored.","A) Law","B) Traffic Signals","C) Recipe","D) Discipline","B"
91,"🎹 Fact: A piano has 88 keys, yet none open doors — they open hearts. Each key is tuned to vibrate perfectly with your emotions!","🎹🔑 = ?","I’m full of keys but open no locks.","A) Keyboard (piano)","B) Piano Shop","C) Keyboard (computer)","D) Locker","A"
92,"📖 Fact: Your imagination uses the same brain area as memories! That’s why when you imagine something deeply, it feels almost real.","✍️📚 = ?","I feed on letters and grow into stories.","A) Book","B) Pen","C) Imagination","D) Library","C"
93,"🌬️ Fact: Wind chimes were invented in ancient Asia — they combine physics and music! The wind composes the melody all by itself.","🌀🎶 = ?","I move without legs and sing without throat.","A) Wind Chime","B) River","C) Fan","D) Echo","A"
94,"📞 Fact: The first phone call ever made was in 1876 by Alexander Graham Bell — and he accidentally said, ‘Mr. Watson, come here!’ 😂","☎️🔁 = ?","I’m the bridge between two voices — heard but not seen.","A) Microphone","B) Telephone/Call","C) Headphones","D) Messenger App","B"
95,"🌰 Fact: Acorns may look tiny, but they grow into giant oak trees that live for hundreds of years — proof that small things hold big power.","👑🟠 = ?","I wear a crown but sit low; I’m small yet often priceless.","A) King","B) Orange (fruit)","C) Crown Jewel","D) Acorn","D"
96,"🧠 Fact: Your brain stores around 2.5 petabytes of data — that’s equal to 3 million hours of TV! It truly is the most powerful ‘box’ ever made.","🧠📦 = ?","I’m a box that grows whenever you put thoughts inside.","A) Notebook","B) Brain","C) Memory Box","D) Library","B"
97,"💬 Fact: Secrets and words are like arrows — once released, they can’t be taken back. Choose your words wisely, they create worlds!","🔏✉️ = ?","I can be opened many times but once changed, I cannot return.","A) Email","B) Letter","C) Secret","D) Jar","C"
98,"⌛ Fact: Time theft is real — every distraction steals a piece of your life! But time also heals, teaches, and rewards those who respect it.","⏰🎭 = ?","I can be stolen without anyone noticing — and returned without reward.","A) Sleep","B) Time","C) Identity","D) Smile","B"
99,"🕵️ Fact: Mystery drives every discovery — from ancient pyramids to black holes! Without mystery, curiosity would die — and science too.","🌑💡 = ?","I am born when truth hides and die when light arrives.","A) Mystery","B) Dream","C) Shadow","D) Lie","A"
100,"🧠 Fact: Imagination is stronger than reality! Your brain fires the same neurons when you imagine something as when you actually see it.","💭🌍 = ?","I build worlds without touching a thing.","A) Mind","B) Dream","C) Word","D) Imagination","D"
101,"🧐 Fact: Curiosity fuels creativity, but too much info overwhelms your brain — it’s called ‘cognitive overload’. Even minds need rest!","📚💀 = ?","I eat knowledge but die when I am fed too much.","A) Brain","B) Curiosity","C) Memory","D) Doubt","B"
102,"🗞️ Fact: The first newspaper was printed in 1605! Every day, news travels the world faster than sound — yet the paper itself never moves.","📰🌍 = ?","I never move yet I travel the world daily.","A) Internet","B) Newspaper","C) Light","D) Map","B"
103,"🎨 Fact: Art speaks in feelings, not words. Two people can see the same painting but live two different emotions — that’s real magic.","🌈🧩 = ?","I am seen by everyone but understood by few.","A) Rainbow","B) Art","C) Dream","D) Emotion","B"
104,"💧 Fact: Water cuts rock over centuries — shaping canyons! It’s the softest yet strongest force in nature — truly nature’s sculptor.","💦🏔️ = ?","I can break mountains and heal wounds without touch.","A) Time","B) Water","C) Air","D) Hope","B"
105,"🪞 Fact: Mirrors flip your world left-to-right, not front-to-back! Ancient cultures believed mirrors could trap souls — spooky science!","🔍↩️ = ?","I hold what’s lost and reveal what’s hidden — only in reverse.","A) Mirror","B) Memory","C) Reflection","D) Camera","A"
106,"⭐ Fact: Stars are ancient — some older than our galaxy! When you look at stars, you’re seeing the past; their light took ages to reach you.","🌌🌙 = ?","I am older than the sun, yet reborn every night.","A) Stars","B) Dreams","C) Night Sky","D) Darkness","A"
107,"🗣️ Fact: Words have power — they can start wars or bring peace. That’s why every culture treats spoken truth as sacred energy.","🌬️💣 = ?","I am made of nothing but can end everything.","A) Thought","B) Word","C) Silence","D) Idea","B"
108,"📘 Fact: Knowledge only grows when shared. Even in computers, sharing data duplicates it — energy of learning never fades.","✨🫶 = ?","I multiply when shared and die when kept.","A) Love","B) Knowledge","C) Happiness","D) Hope","B"
109,"🌀 Fact: Nature runs on patterns — from DNA spirals to galaxy swirls. When patterns break, chaos begins — that’s how evolution happens!","📏🌀 = ?","I’m the child of order but parent of chaos.","A) Pattern","B) Rule","C) Code","D) Logic","A"
110,"🎵 Fact: A pause in music is as important as the notes — it’s called ‘rest’. Even silence has rhythm if you listen deeply enough.","🎶🫥 = ?","I can’t be heard, yet I change every song.","A) Rhythm","B) Silence","C) Pause","D) Space","C"
111,"💭 Fact: Thought signals in your brain move at nearly 400 km/h! Imagination outruns physics because it exists beyond matter.","⚡🧠 = ?","I travel faster than light but carry no mass.","A) Thought","B) Neutrino","C) Shadow","D) Memory","A"
112,"🌅 Fact: The horizon looks near but never arrives — it’s just geometry of the Earth’s curve. A perfect illusion built by nature.","🚶‍♂️➡️🏁 = ?","I am always in front but can never be reached.","A) Future","B) Horizon","C) Goal","D) Light","B"
113,"🎶 Fact: Music bypasses logic — it directly speaks to emotion. Even plants and babies respond to melody before they understand words.","🔑❤️ = ?","I can open every heart but lock every secret.","A) Truth","B) Music","C) Trust","D) Smile","B"
114,"☁️ Fact: The cloud stores billions of memories — literally digital brains floating in the sky. You already live in the future!","📱🪞 = ?","I am a mirror that remembers what you forget.","A) Phone","B) Photo","C) Memory","D) Cloud","D"
115,"⌛ Fact: Even dreams follow time! Your brain compresses hours into seconds — that’s why dreams feel long though they last minutes.","🌙🔗 = ?","I’m the only thing you can’t escape, even in dreams.","A) Time","B) Death","C) Reality","D) Shadow","A"
116,"🌬️ Fact: Air seems harmless but windstorms can carve rocks and flip oceans! It’s the invisible sculptor of the planet.","🌪️💀 = ?","I walk without legs, whisper without voice, and kill without hate.","A) Fire","B) Air","C) Time","D) Virus","B"
117,"💡 Fact: Every invention — from fire to AI — began as a tiny invisible idea. Thought is literally the seed of human civilization.","💫🧍 = ?","I start invisible and end unforgettable.","A) Idea","B) Dream","C) Love","D) Memory","A"
118,"🕯️ Fact: Candles consume darkness by transforming wax into light. They’re the perfect symbol of transformation through burning.","🔥🌑 = ?","I eat darkness and shine brighter when fed.","A) Fire","B) Star","C) Hope","D) Candle","D"
119,"💭 Fact: Doubt is the start of all wisdom — every great discovery started when someone asked, ‘What if this isn’t true?’.","🤔🚫 = ?","I’m a question that answers itself when ignored.","A) Doubt","B) Truth","C) Fear","D) Silence","A"
